brand,year,engine,mileage,fuel,price
Hyundai,2016,4.4,157489,Diesel,40711
Kia,2016,1.6,115598,Diesel,28475
Mercedes,2008,2.0,250100,Petrol,22280
Kia,2020,1.6,258589,Petrol,25751
Kia,2008,3.0,184233,Diesel,22368
BMW,2009,1.6,252388,Petrol,16329
Mercedes,2009,3.0,133241,Diesel,33942
Mercedes,2012,3.0,215164,Diesel,35756
Mercedes,2014,2.5,153124,Petrol,34890
Kia,2021,4.4,204923,Petrol,39318
Hyundai,2013,3.0,8036,Diesel,35445
Mercedes,2023,2.5,31778,Petrol,50353
Kia,2018,4.4,154245,Petrol,41076
BMW,2012,3.0,161475,Petrol,34537
Hyundai,2013,3.0,202747,Petrol,25355
BMW,2015,1.6,18800,Diesel,39353
Hyundai,2005,1.6,287516,Diesel,8905
Kia,2018,4.4,282682,Diesel,35745
Toyota,2009,3.0,231312,Diesel,22065
Hyundai,2018,2.0,59500,Petrol,33419
BMW,2008,1.6,167647,Petrol,21736
Kia,2005,4.4,236527,Diesel,26754
Hyundai,2023,3.0,110659,Diesel,42732
Toyota,2012,3.0,27716,Petrol,37285
Toyota,2019,2.0,2352,Diesel,40278
Mercedes,2019,4.4,133004,Diesel,51818
Mercedes,2013,3.0,8556,Petrol,46560
BMW,2013,1.6,261973,Diesel,25774
Hyundai,2014,2.0,136570,Petrol,23742
Hyundai,2013,4.4,207190,Petrol,34434
Mercedes,2007,2.0,50098,Diesel,31428
Hyundai,2015,1.6,140641,Petrol,24419
Hyundai,2010,4.4,247199,Diesel,33313
Toyota,2006,2.0,126060,Petrol,16834
Mercedes,2011,2.5,187954,Diesel,31750
Kia,2022,1.6,201465,Diesel,30243
Mercedes,2006,1.6,130544,Diesel,27002
Kia,2021,1.6,340,Petrol,34000
Toyota,2015,2.5,175021,Petrol,25677
BMW,2016,2.5,82302,Diesel,43566
Hyundai,2023,3.0,222740,Petrol,33422
Toyota,2011,2.0,138,Diesel,31468
Hyundai,2010,3.0,119619,Diesel,32119
BMW,2005,2.0,99931,Petrol,25142
BMW,2021,2.5,156951,Diesel,42804
Toyota,2015,2.5,37772,Petrol,35251
BMW,2022,3.0,58478,Diesel,48628
Kia,2021,4.4,26762,Petrol,50513
BMW,2011,3.0,144355,Diesel,36601
Hyundai,2021,2.0,194994,Diesel,31587
Hyundai,2013,3.0,170492,Petrol,27242
Hyundai,2021,1.6,282363,Diesel,24297
Hyundai,2012,2.0,74965,Diesel,30076
Kia,2021,2.0,177912,Petrol,29321
Mercedes,2011,4.4,175767,Diesel,42083
Toyota,2005,2.5,236281,Petrol,16745
Hyundai,2017,2.0,84754,Diesel,33178
BMW,2023,2.5,77988,Petrol,49885
Hyundai,2023,3.0,150023,Diesel,36976
BMW,2021,1.6,132379,Diesel,39980
BMW,2017,4.4,80388,Diesel,50569
Hyundai,2020,2.5,297572,Petrol,23737
Kia,2012,2.0,239779,Petrol,16596
BMW,2023,2.5,206846,Petrol,40267
BMW,2022,2.0,170047,Petrol,38695
Hyundai,2005,2.5,132212,Diesel,17854
BMW,2018,2.0,288565,Diesel,29489
